term,definition,source,page
Kriyajnana,The intellectual processes which are the means taken to acquire Svarupajnana.,Glossary_Sanskrit_Terms.pdf,71
Kriyamana,(lit what is being done) the effect of the deeds of the present life to be experienced in the future; same as Agami.,Glossary_Sanskrit_Terms.pdf,71
Kriyanivritti,Relief from action; emancipation.,Glossary_Sanskrit_Terms.pdf,71
Kriyasakti,The power or faculty of acting.,Glossary_Sanskrit_Terms.pdf,71
Kriyayoga,Yoga of action; Yoga of self-purification through external service or worship.,Glossary_Sanskrit_Terms.pdf,71
Krodha,Anger; wrath.,Glossary_Sanskrit_Terms.pdf,71
Kruramati,One with a cruel mind or intention.,Glossary_Sanskrit_Terms.pdf,71
Krurata,Cruelty; pitilessness.,Glossary_Sanskrit_Terms.pdf,71
Kshama,Forgiveness.,Glossary_Sanskrit_Terms.pdf,71
Kshama,Moment.,Glossary_Sanskrit_Terms.pdf,71
Kshanabhangura,Liable to be destroyed at any time; utterly transient; evanescent.,Glossary_Sanskrit_Terms.pdf,71
Kshanika,Transitory; evanescent; momentary.,Glossary_Sanskrit_Terms.pdf,71
Kshanikatva,Momentariness.,Glossary_Sanskrit_Terms.pdf,71
Kshara,World; perishable.,Glossary_Sanskrit_Terms.pdf,71
Kshatradharma,Code of life and conduct of the warrior- class.,Glossary_Sanskrit_Terms.pdf,71
Kshatriyavidya,Military science of the warrior-caste.,Glossary_Sanskrit_Terms.pdf,71
Kshaya,Destruction; thinning; diminishing; annihilation.,Glossary_Sanskrit_Terms.pdf,71
Kshetra,A holy place; field; also physical body in the philosophical sense.,Glossary_Sanskrit_Terms.pdf,71
Kshetrajna,The individual or the Supreme Soul.,Glossary_Sanskrit_Terms.pdf,71
Kshina,Powerless; weak.,Glossary_Sanskrit_Terms.pdf,71
Kshipta,Wandering state of the mind.,Glossary_Sanskrit_Terms.pdf,71
Kshiti,Earth.,Glossary_Sanskrit_Terms.pdf,71
Kshudrabrahmanda,Microcosm; human body.,Glossary_Sanskrit_Terms.pdf,72
Kuladharma,The respective duty pertaining to the family.,Glossary_Sanskrit_Terms.pdf,72
Kumbhaka,Retention of breath; suspension of breath.,Glossary_Sanskrit_Terms.pdf,72
Kundalini,"The primordial cosmic energy located in the individual; it lies coiled up like a serpent with three and a half coils, with head downwards at the basal Muladharachakra.",Glossary_Sanskrit_Terms.pdf,72
Kusa,Sacred grass used for ritualistic purposes.,Glossary_Sanskrit_Terms.pdf,72
Kutastha,"Absolutely changeless; He who is found without exception in all creatures from Brahma or the creator down to ants and Who is shining as the Self and dwells as witness to the intellect of all creatures, rock-seated, unchanging; another name for Brahman.",Glossary_Sanskrit_Terms.pdf,72
Kutasthachaitanya,Inner Self; individual Consciousness destitute of egoism.,Glossary_Sanskrit_Terms.pdf,72
Kutasthanitya,"Eternal, without undergoing change; the changelessly permanent Self This is opposed Parinami Nitya or changing permanent.",Glossary_Sanskrit_Terms.pdf,72
Kutasthasatta,Rock-seated Being; firm being; being of the Self or Brahman.,Glossary_Sanskrit_Terms.pdf,72
Kutira,Hut or cottage; hermitage. L,Glossary_Sanskrit_Terms.pdf,72
Laghava,Lightness of body through practice of meditation.,Glossary_Sanskrit_Terms.pdf,72
Laghima,Lightness; one of the eight major Siddhis of Yoga-practice.,Glossary_Sanskrit_Terms.pdf,72
Lajja,Shame; shyness.,Glossary_Sanskrit_Terms.pdf,72
Lakshana,Sign; definition; characteristic; condition.,Glossary_Sanskrit_Terms.pdf,72
Lakshanavritti,"The inherent power in a sound that gives rise to a thought of certain qualities like name, form, etc.,",Glossary_Sanskrit_Terms.pdf,72
Lakshya,Target; point of concentration.,Glossary_Sanskrit_Terms.pdf,73
Lakshyartha,Indicative meaning (in the exposition of Tat- tvam-asi Mahavakya); the Lakshyartha of Tat is Brahman and that of Tvam is Kutastha.,Glossary_Sanskrit_Terms.pdf,73
Laukika,Worldly; pertaining to the empirical phenomena.,Glossary_Sanskrit_Terms.pdf,73
Lauliki,The whirling of the belly from side to side.,Glossary_Sanskrit_Terms.pdf,73
Laya,Dissolution; merging.,Glossary_Sanskrit_Terms.pdf,73
Layachintana,"Concentration of the mind with a view to dissolve it; that kind of Vedantic meditation where the mind is carried on progressively from grosser to subtler ideas until it is dissolved in the Unmanifested or Para Brahman; there is for instance, the Bhutalayachintana, the Antahkaranalayachintana, and the Omkaralayachintana.",Glossary_Sanskrit_Terms.pdf,73
Layakrama,The order of the dissolution ofthe Tattvas.,Glossary_Sanskrit_Terms.pdf,73
Layasthana,The place of dissolution.,Glossary_Sanskrit_Terms.pdf,73
Layayoga,Process of absorption of the individual soul into the Supreme Soul; another name of Nada-yoga or Kundalini-yoga.,Glossary_Sanskrit_Terms.pdf,73
Lesa-avidya,Trace of ignorance.,Glossary_Sanskrit_Terms.pdf,73
Lila,Play; sport; the cosmos looked upon as a divine play.,Glossary_Sanskrit_Terms.pdf,73
Lilamayi,A connotative name of the divine force whom creation and dissolution are mere play or sport.,Glossary_Sanskrit_Terms.pdf,73
Lilavilasa,The splendour of divine sport.,Glossary_Sanskrit_Terms.pdf,73
Lina,Dissolved; merged; lost.,Glossary_Sanskrit_Terms.pdf,73
Linga,Mark; gender; sign; symbol.,Glossary_Sanskrit_Terms.pdf,73
Lingadeha,The astral body; the subtle body.,Glossary_Sanskrit_Terms.pdf,73
Lingasarira,"The subtle or psychic body that become particularly active during the dream state by creating a world of its own; the three sheaths of intelligence, mind and",Glossary_Sanskrit_Terms.pdf,73
Lingatman,The subtle self.,Glossary_Sanskrit_Terms.pdf,74
Lobha,Covetousness; greed.,Glossary_Sanskrit_Terms.pdf,74
Loka,World of names and forms,Glossary_Sanskrit_Terms.pdf,74
Lokasangraha,Solidarity of the world; uplift of the world.,Glossary_Sanskrit_Terms.pdf,74
Lokayata,Materialist; Charvaka.,Glossary_Sanskrit_Terms.pdf,74
Loluta,Covetousness; cupidity; earthly enjoyment. M,Glossary_Sanskrit_Terms.pdf,74
Maala,Rosary; beads used for counting the number of Japa done.,Glossary_Sanskrit_Terms.pdf,74
Mada,Pride.,Glossary_Sanskrit_Terms.pdf,74
Madhukaribhiksha,Alms collected from door to door like a bee collecting honey from flower to flower.,Glossary_Sanskrit_Terms.pdf,74
Madhuparka,"An offering for the Lord containing honey, curd, etc.",Glossary_Sanskrit_Terms.pdf,74
Madhura,The attitude of a devotee expressing the emotion that exists between a lover and the beloved; the devotee looks upon God as his Beloved.,Glossary_Sanskrit_Terms.pdf,74
Madhuvidya,The process of meditation on Brahman taking the sun (honey) as a symbol of Brahman.,Glossary_Sanskrit_Terms.pdf,74
Madhyama,A slightly gross form of sound.,Glossary_Sanskrit_Terms.pdf,74
Madhyamakotyadhikari,Qualified person of the middle type.,Glossary_Sanskrit_Terms.pdf,74
Madhyamaparimana,Middle size.,Glossary_Sanskrit_Terms.pdf,74
Madhyamavairagya,Middle type of Vairagya; not intense Vairagya.,Glossary_Sanskrit_Terms.pdf,74
Mahabhuta,Great element; primordial element.,Glossary_Sanskrit_Terms.pdf,74
Mahadbrahma,Hiranyagarbha; Sutratma; cosmic intelligence.,Glossary_Sanskrit_Terms.pdf,74
Mahakalpa,The great cycle; hundred years of Brahma when the whole universe is dissolved in the Unmanifested.,Glossary_Sanskrit_Terms.pdf,75
Mahan,The Great; the evolute from Prakriti according to the Sankhya; Brahma or Hiranyagarbha.,Glossary_Sanskrit_Terms.pdf,75
Mahapralaya,The great deluge and general annihilation of the world; the final destruction of the whole creation at the end of a cosmic cycle.,Glossary_Sanskrit_Terms.pdf,75
Mahapurusha,A great person; a great soul; a sage; the Supreme Lord.,Glossary_Sanskrit_Terms.pdf,75
Maharaja,Emperor.,Glossary_Sanskrit_Terms.pdf,75
Maharloka,The fourth of the seven planes above nether regions.,Glossary_Sanskrit_Terms.pdf,75
Maharshi,Great sage.,Glossary_Sanskrit_Terms.pdf,75
Mahat,"Great; the first product from Prakriti in evolution according to Sankhya philosophy, intellect.",Glossary_Sanskrit_Terms.pdf,75
Mahatahparah,Beyond the great; greater than the great; above the reach of the intellect.,Glossary_Sanskrit_Terms.pdf,75
Mahatma,Great soul; saint; sage.,Glossary_Sanskrit_Terms.pdf,75
Mahattattva,The great principle; the principle of intelligence or Buddhi; Hiranyagarbha or Brahma.,Glossary_Sanskrit_Terms.pdf,75
Mahattva,Greatness.,Glossary_Sanskrit_Terms.pdf,75
Mahavakya,"(lit.) Great sentence. Upanishadic declarations, four in number, expressing the highest Vedantic truths or the identity between the individual soul and the Supreme Soul. They are: 1. Prajnanam Brahma (Consciousness is Brahman)—in Aitareya Upanishad of the Rig Veda. 2. Aham Brahmasmi (I am Brahman)—in Brihadaranyaka Upanishad of Yajur Veda. 3. Tat Tvam Asi (That thou art)—in Chhandogya",Glossary_Sanskrit_Terms.pdf,75
Mahavakyanusandhana,Enquiry into the truth of the Mahavakyas.,Glossary_Sanskrit_Terms.pdf,76
Mahesvara,Great Lord; name of Siva.,Glossary_Sanskrit_Terms.pdf,76
Mahima,Glory; one of the eight major Siddhis; the power of assuming immense size.,Glossary_Sanskrit_Terms.pdf,76
Maitri,Friendliness.,Glossary_Sanskrit_Terms.pdf,76
Majja,Marrow.,Glossary_Sanskrit_Terms.pdf,76
Makaara,"The mystic syllable “m”, the third letter that concludes Om or the Pranava-nada.",Glossary_Sanskrit_Terms.pdf,76
Makara,Crocodile.,Glossary_Sanskrit_Terms.pdf,76
Mala,Impurity of the mind; one of the three defects of the mind.,Glossary_Sanskrit_Terms.pdf,76
Malavasanarahita,Free from impurities and subtle desires.,Glossary_Sanskrit_Terms.pdf,76
Malinasattva,Impure Sattva; nescience; Avidya in the individual.,Glossary_Sanskrit_Terms.pdf,76
Mamakara,"Mineness; the thought “this is mine” in relation to the body and the things connected with it, such as wife, children, relations, friends, home, wealth and the like.",Glossary_Sanskrit_Terms.pdf,76
Mamata,Mineness.,Glossary_Sanskrit_Terms.pdf,76
Mana,Respect; sense of self-respect.,Glossary_Sanskrit_Terms.pdf,76
Manahkalpitajagat,The world created by the mind or imagination.,Glossary_Sanskrit_Terms.pdf,76
Manahpranasambandha,The relation between mind and vital energy.,Glossary_Sanskrit_Terms.pdf,76
Manahsuddhi,Purification of the mind.,Glossary_Sanskrit_Terms.pdf,76
Manana,Constant thinking; reflection; meditation on the eternal verities; the second of the three steps on the path of,Glossary_Sanskrit_Terms.pdf,76
Mananasakti,Power of reflection and concentration.,Glossary_Sanskrit_Terms.pdf,77
Manas,Mind; the thinking faculty.,Glossary_Sanskrit_Terms.pdf,77
Manasah-manah,Mind of mind; the Inner Ruler or the Self or Brahman.,Glossary_Sanskrit_Terms.pdf,77
Manasapuja,Mental worship; an item of ritualistic worship requiring the devotee to go mentally through the entire procedure of worship.,Glossary_Sanskrit_Terms.pdf,77
Manasika,Mental; pertaining to the mind.,Glossary_Sanskrit_Terms.pdf,77
Manasikajapa,Mental repetition of a Mantra.,Glossary_Sanskrit_Terms.pdf,77
Manasikakriya,Mental action.,Glossary_Sanskrit_Terms.pdf,77
Manasisakti,Power of mind; intelligence; understanding.,Glossary_Sanskrit_Terms.pdf,77
Manavadharma,The essential nature of man; reli of man; the duties of man.,Glossary_Sanskrit_Terms.pdf,77
Manda,Dull; thick.,Glossary_Sanskrit_Terms.pdf,77
Mandala,"Region; sphere or plane, e.g., Suryaman or the solar region.",Glossary_Sanskrit_Terms.pdf,77
Mangala-arati,Worship through waving of lights before God or any adorable personage.,Glossary_Sanskrit_Terms.pdf,77
Manipura-chakra,The third of the Yogic centres situated in the region of the navel.,Glossary_Sanskrit_Terms.pdf,77
Manisha,Independent power of thinking.,Glossary_Sanskrit_Terms.pdf,77
Manodharma,Natural attributes or properties of mind.,Glossary_Sanskrit_Terms.pdf,77
Manolaya,Conquest of the mind.,Glossary_Sanskrit_Terms.pdf,77
Manolaya,Involution and dissolution of the mind in its cause.,Glossary_Sanskrit_Terms.pdf,77
Manomatrajagat,Mind alone is world; world made up of mind only.,Glossary_Sanskrit_Terms.pdf,77
Manomayakosa,One of the sheaths of the Sel consisting of the mind.,Glossary_Sanskrit_Terms.pdf,77
Manomurchakumbhaka,Retention of brew wherein the mind lapses into unconsciousness; a variety of Pralaya.,Glossary_Sanskrit_Terms.pdf,78
Manonasa,Destruction of the mind.,Glossary_Sanskrit_Terms.pdf,78
Manonirodha,Control or annihilation of the mind.,Glossary_Sanskrit_Terms.pdf,78
Manorajya,Building castles in the air; mental kingdom.,Glossary_Sanskrit_Terms.pdf,78
Manoratha,Desire of the mind.,Glossary_Sanskrit_Terms.pdf,78
Mantra,Sacred syllable or word or set of words through the repetition and reflection of which one attains perfection or realisation of the Self.,Glossary_Sanskrit_Terms.pdf,78
Mantra-chaitanya,The dormant potency of Mantra.,Glossary_Sanskrit_Terms.pdf,78
Mantra-sakti,Power of the Lord’s Name; the potency of any Mantra.,Glossary_Sanskrit_Terms.pdf,78
Mantra-siddhi,Perfection in the practice of Mantrajapa; mastery over the Devata of a Mantra so that the Devata graces the votary whenever invoked.,Glossary_Sanskrit_Terms.pdf,78
Manvantara,The period of Manu’s rule consisting of 71 celestial Yugas.,Glossary_Sanskrit_Terms.pdf,78
Mardava,Mildness; tenderness; smoothness.,Glossary_Sanskrit_Terms.pdf,78
Marga,Path; road.,Glossary_Sanskrit_Terms.pdf,78
Martanda,The Sun-God.,Glossary_Sanskrit_Terms.pdf,78
Martyaloka,The mortal world; earth-plane.,Glossary_Sanskrit_Terms.pdf,78
Marut,A certain class of heavenly bodies; the wind-god.,Glossary_Sanskrit_Terms.pdf,78
Mathakasa,Space bounded by a temple or a house or a room.,Glossary_Sanskrit_Terms.pdf,78
Mati,Thought; mind rightly directed towards knowledge revealed and practice enjoined by Sastras.,Glossary_Sanskrit_Terms.pdf,78
Matra,Unit; alone; element.,Glossary_Sanskrit_Terms.pdf,78
Matri-mana-mega,"Knower, knowing and the known; measurer, measuring and the measured.",Glossary_Sanskrit_Terms.pdf,78
Matsarya,Jealousy.,Glossary_Sanskrit_Terms.pdf,78
Matsyasana,Fish-posture of the Hatha Yogins; a person can float on water like a fish for a considerable time if he steadily lies there in this posture.,Glossary_Sanskrit_Terms.pdf,79
Matsyavatara,"The Fish-incarnation of God, according to Hindu mythology.",Glossary_Sanskrit_Terms.pdf,79
Matsyendrasana,"This posture was invented by Bhagavan Matsyendra, one of the pioneers of Yogic culture.",Glossary_Sanskrit_Terms.pdf,79
Mauna,Silence.,Glossary_Sanskrit_Terms.pdf,79
Maya,The illusive power of Brahman; the veiling and the projecting power of the universe.,Glossary_Sanskrit_Terms.pdf,79
Mayamohajala,The jugglery or deception set by infatuation of Maya.,Glossary_Sanskrit_Terms.pdf,79
Mayasabalabrahma,"Another name for Sagun Brahman or Isvara (the Brahman conjoined with attributes, enwrapped in and coloured with Maya).",Glossary_Sanskrit_Terms.pdf,79
Mayavada,Also known as Mithyavada; theory of illusion; doctrine of the phenomenal character of the universe.,Glossary_Sanskrit_Terms.pdf,79
Mayavi,Master-magician; great juggler; Brahman.,Glossary_Sanskrit_Terms.pdf,79
Mayopadhi,The Upadhi or the apparently limiting conditions produced by Maya or appearance.,Glossary_Sanskrit_Terms.pdf,79
Medha,Power of retaining the import of studies; intelligence or intellect; power of understanding.,Glossary_Sanskrit_Terms.pdf,79
Meghakasa,"Sky reflected in particles of water which resemble spray and which are inferable as existing in the canopy of clouds, which hangs in the expansive firmament from the subsequent showers of rain; cloud-environed ether.",Glossary_Sanskrit_Terms.pdf,79
Merudanda,The spinal column.,Glossary_Sanskrit_Terms.pdf,79
Mimamsa,An enquiry into the nature of a thing; the science of philosophical logic enquiring into Vedic,Glossary_Sanskrit_Terms.pdf,79
Mitahara,Moderate diet.,Glossary_Sanskrit_Terms.pdf,80
Mithya,False; unreal; illusory.,Glossary_Sanskrit_Terms.pdf,80
Mithyabhimana,False egoism.,Glossary_Sanskrit_Terms.pdf,80
Mithyachara,Sinful conduct; hypocrisy.,Glossary_Sanskrit_Terms.pdf,80
Mithyadrishti,The vision that this world is unreal.,Glossary_Sanskrit_Terms.pdf,80
Mithyahamkara,Same as Mithyabhimana.,Glossary_Sanskrit_Terms.pdf,80
Mithyajnana,False knowledge.,Glossary_Sanskrit_Terms.pdf,80
Mithyajnananimitta,Based on wrong knowledge.,Glossary_Sanskrit_Terms.pdf,80
Mithyasambandha,False relationship.,Glossary_Sanskrit_Terms.pdf,80
Mithyavada,Phenomenal doctrine; theory of illusion.,Glossary_Sanskrit_Terms.pdf,80
Moha,Infatuation; delusion caused by wrong thinking; false identification and deluded attachment.,Glossary_Sanskrit_Terms.pdf,80
Moksha,Release; liberation; the term is particularly applied to the liberation from the bondage of Karma and the wheel of birth and death; Absolute Experience.,Glossary_Sanskrit_Terms.pdf,80
Mriduta,Gentleness; tenderness.,Glossary_Sanskrit_Terms.pdf,80
Mridya (Vairagya),"Mild form of dispassion; intermittent, vague and weak.",Glossary_Sanskrit_Terms.pdf,80
Mrigatrishna,Mirage in the desert.,Glossary_Sanskrit_Terms.pdf,80
Mrisha,Vain; hollow; false; unreal.,Glossary_Sanskrit_Terms.pdf,80
Mrityu,Death; Lord Yama.,Glossary_Sanskrit_Terms.pdf,80
Mrityunjaya,Conqueror of death; one of the names of Lord Siva.,Glossary_Sanskrit_Terms.pdf,80
Mudhavastha,One of the five states of the mind; state of ignorance or forgetfulness of one’s real nature.,Glossary_Sanskrit_Terms.pdf,80
Mudita,Complacency; joy.,Glossary_Sanskrit_Terms.pdf,80
Mudra,A certain class of exercises in Hatha Yoga; symbols shown in hands during worship.,Glossary_Sanskrit_Terms.pdf,80
Mugdhata,The state of very deluded forgetfulness of real,Glossary_Sanskrit_Terms.pdf,80
Muhurtam,Auspicious moment; a period equivalent to 48 minutes.,Glossary_Sanskrit_Terms.pdf,81
Mukhya,Chief; primary.,Glossary_Sanskrit_Terms.pdf,81
Mukhyaprana,Chief vital air.,Glossary_Sanskrit_Terms.pdf,81
Mukhyasamanyadhikarana,"The great Vedantic text “Aham Brahmasmi: I am Brahman” teaches the identity of the individual soul and the Supreme Being. Here the soul designated as “I”, the doer and the enjoyer is not one with Brahman, but it is the noumenal Self Who is the basis of that “I” that is identical with Brahman. Thus “I” is to be deprived of its fictitious environments before establishing its identity with Brahman; the main common substratum. To illustrate the matter, let us take an ordinary instance of a rectified error. “That which was thought to be a pillar is a man.” Here the proposition does not mean that the pillar is one with the man. But, it simply teaches us that knowledge of the man dispels the notion of the pillar, and residuum of that idea of pillar is the same as man. In o words, the relation of subject and predicate is not based up direct identity (Mukhyasamanyadhikarana) but upon sublation of the falsity of the subject as such (Badhasamanyadhikarana).",Glossary_Sanskrit_Terms.pdf,81
Mukhyavritti,Primary sense; power or Sakti words.,Glossary_Sanskrit_Terms.pdf,81
Mukta,The liberated one.,Glossary_Sanskrit_Terms.pdf,81
Muktapurusha,A person liberated from all kinds of bondage; one freed from birth and death.,Glossary_Sanskrit_Terms.pdf,81
Mukti,same as Moksha.,Glossary_Sanskrit_Terms.pdf,81
Mula,Origin; root; base; tuber.,Glossary_Sanskrit_Terms.pdf,81
Muladhara,The lowermost of the six Yogic centres the body.,Glossary_Sanskrit_Terms.pdf,81
Muladhauti,Cleaning of the anus.,Glossary_Sanskrit_Terms.pdf,82
Mulajnana,Primal ignorance which contains all potentialities.,Glossary_Sanskrit_Terms.pdf,82
Mulamantra,Root Mantra; the powerful and the most important of the Mantras of any deity.,Glossary_Sanskrit_Terms.pdf,82
Mulaprakriti,Avyaktam; the ultimate subtle cause for all matter.,Glossary_Sanskrit_Terms.pdf,82
Mula-avidya,Same as Mula-ajnana.,Glossary_Sanskrit_Terms.pdf,82
Mumukshu,Seeker after liberation.,Glossary_Sanskrit_Terms.pdf,82
Mumukshutva,Intense longing for liberation.,Glossary_Sanskrit_Terms.pdf,82
Muni,A sage; an austere person; one observing the vow of silence (Mauna).,Glossary_Sanskrit_Terms.pdf,82
Murcha,Fainting.,Glossary_Sanskrit_Terms.pdf,82
Murkha,Fool.,Glossary_Sanskrit_Terms.pdf,82
Murta-amurta,Personal and impersonal.,Glossary_Sanskrit_Terms.pdf,82
Murti,Idol. N,Glossary_Sanskrit_Terms.pdf,82
Nabhi,Navel.,Glossary_Sanskrit_Terms.pdf,82
Nabhichakra,"Manipurachakra; the third lotus at the navel, according to Hatha Yoga.",Glossary_Sanskrit_Terms.pdf,82
Nada,Mystic sound (of the Eternal); the primal sound or First vibration from which all creation has emanated; the first manifestation of the unmanifested Absolute; Omkara or Sabda Brahman; also the mystic inner sound or Anahata on which the Yogi concentrates.,Glossary_Sanskrit_Terms.pdf,82
Nadabindukalatita,"Beyond the states of Nada, Bindu and Kala, in Tantric conception; the supreme state of Brahman.",Glossary_Sanskrit_Terms.pdf,82
Nadanusandhana,Enquiry or investigation into the Anahata sounds.,Glossary_Sanskrit_Terms.pdf,82
Nadi,River,Glossary_Sanskrit_Terms.pdf,83
Nadi,Nerve; channel; psychic current.,Glossary_Sanskrit_Terms.pdf,83
Nadisuddhi,Purification of the Nadis.,Glossary_Sanskrit_Terms.pdf,83
Naga,"One order of Sadhus, who are nude.",Glossary_Sanskrit_Terms.pdf,83
Naimittika,Occasional; not daily or permanent.,Glossary_Sanskrit_Terms.pdf,83
Naimittika-karma,"Obligatory rites on special occasions, such as death anniversaries, eclipses, etc.",Glossary_Sanskrit_Terms.pdf,83
Naimittikapralaya,"Occasional cosmic dissolution, during Hiranyagarbha’s sleep.",Glossary_Sanskrit_Terms.pdf,83
Naishkarmya,Cessation of works of Prakriti; the state of being actionless (in salvation).,Glossary_Sanskrit_Terms.pdf,83
Naishthikabrahmachari,"One who has taken the vow of life-long celibacy, residing in the house of his preceptor.",Glossary_Sanskrit_Terms.pdf,83
Naivedya,Edible offerings to the deity in a temple or household altar.,Glossary_Sanskrit_Terms.pdf,83
Naiyayika,Follower of the Nyaya school of Indian philosophy.,Glossary_Sanskrit_Terms.pdf,83
Nakshatravidya,The science of stars; astronomy.,Glossary_Sanskrit_Terms.pdf,83
Nama,Name.,Glossary_Sanskrit_Terms.pdf,83
Namarupa,Name and form; the nature of the world.,Glossary_Sanskrit_Terms.pdf,83
Namarupajagat,The world of names and forms.,Glossary_Sanskrit_Terms.pdf,83
Namarupavyakarana,Evolution of names and forms.,Glossary_Sanskrit_Terms.pdf,83
Namasmarana,Remembrance of the Lord throu repetition of His Name.,Glossary_Sanskrit_Terms.pdf,83
Namrata,Humility.,Glossary_Sanskrit_Terms.pdf,83
Nanabhava,The feeling of plurality or multiplicity.,Glossary_Sanskrit_Terms.pdf,83
Nanatva,Many-ness; variety; diversity.,Glossary_Sanskrit_Terms.pdf,83
Narasimha,A fierce manifestation of Vishnu in the form of a man-lion in which the Lord incarnated to kill Hiranyakasipu.,Glossary_Sanskrit_Terms.pdf,83
Narayana,"A proper name of God; the term by etymology means a Being that supports all things, that is reached by them and that helps them to do so; when the compound Nara plus Ayana is understood as a Bahuvrihi compound, the word means one who pervades all things; one who sleeps on waters.",Glossary_Sanskrit_Terms.pdf,84
Nasika,"Nose; the subtle organ of smell corresponding to the outer organ, the nose.",Glossary_Sanskrit_Terms.pdf,84
Nasikagra,Tip of the nose.,Glossary_Sanskrit_Terms.pdf,84
Nasikagradrishti,Gaze at the tip of the nose.,Glossary_Sanskrit_Terms.pdf,84
Nauli,"Hatha Yogic Kriya, wherein the abdominal region is churned with the rotating motion of the rectus muscles.",Glossary_Sanskrit_Terms.pdf,84
Navadvarapuri,The nine-gated city; body.,Glossary_Sanskrit_Terms.pdf,84
Navariddhis,The nine minor psychic powers.,Glossary_Sanskrit_Terms.pdf,84
Navavidhabhakti,"Nine modes of devotion, viz., hearing His Names and Glories, singing them, remembering the Lord, worship (service) of His Feet, adoration with flowers, prostrations, regarding oneself as His servant, as His friend, and total self-surrender.",Glossary_Sanskrit_Terms.pdf,84
Neti,"Hatha Yogic Kriya for cleansing the nostrils, by passing a thread through the nostrils; one of the six Kriyas or preliminary purificatory exercises in Hatha Yoga.",Glossary_Sanskrit_Terms.pdf,84
Neti-neti,"“Not this, not this”; the analytical process of progressively negating all names and forms in order to arrive at the eternal underlying Truth.",Glossary_Sanskrit_Terms.pdf,84
Nididhyasana,"Profound and deep meditation; third step in Vedantic Sadhana, after ‘hearing’ and ‘reflection’.",Glossary_Sanskrit_Terms.pdf,84
Nidra,Sleep; either dreaming or deep sleep state; also a name of Yogamaya.,Glossary_Sanskrit_Terms.pdf,84
Nigamana,Conclusion; the fifth member of a syllogism.,Glossary_Sanskrit_Terms.pdf,84
Nigrahasthana,The place of controlling and punishment.,Glossary_Sanskrit_Terms.pdf,85
Nihsankalpa,Devoid of thought or imagination.,Glossary_Sanskrit_Terms.pdf,85
Nihspriha,Desirelessness.,Glossary_Sanskrit_Terms.pdf,85
Nihsreyas,Supreme Bliss; Moksha.,Glossary_Sanskrit_Terms.pdf,85
Nihsvasa,Outbreathing; exhalation.,Glossary_Sanskrit_Terms.pdf,85
Nijabodharupa,State of Self-awareness; Satchidananda Brahman; of the form of real knowledge.,Glossary_Sanskrit_Terms.pdf,85
Nimesha,Twinkling of an eye; a moment or minute.,Glossary_Sanskrit_Terms.pdf,85
Nimitta,Cause; instrument.,Glossary_Sanskrit_Terms.pdf,85
Nimittakarana,"Instrumental cause, as the potter who makes the pot.",Glossary_Sanskrit_Terms.pdf,85
Ninda,Rebuke; censure.,Glossary_Sanskrit_Terms.pdf,85
Nirabhimanata,State of mine-lessness; egolessness.,Glossary_Sanskrit_Terms.pdf,85
Nirabhimani,One who is devoid of Abhimana.,Glossary_Sanskrit_Terms.pdf,85
Niradhara,Without support.,Glossary_Sanskrit_Terms.pdf,85
Nirajana,Burning of camphor and the like; an offering or waving of camphor or any light before the deity during worship.,Glossary_Sanskrit_Terms.pdf,85
Nirakara,Formless.,Glossary_Sanskrit_Terms.pdf,85
Niralamba,Supportless.,Glossary_Sanskrit_Terms.pdf,85
Niramaya,Without disease.,Glossary_Sanskrit_Terms.pdf,85
Niranjana,Spotless. Niranjano’ham: I am spotlessly pure.,Glossary_Sanskrit_Terms.pdf,85
Nirasaya,Without refuge or shelter.,Glossary_Sanskrit_Terms.pdf,85
Nirasraya,Without support.,Glossary_Sanskrit_Terms.pdf,85
Niratisayananda,The highest bliss; above whit bliss there is none other.,Glossary_Sanskrit_Terms.pdf,85
Niratisaya-ghanibhuta-sakti,Infinitely massive power or potency; condensed or concentrated power which is limitless.,Glossary_Sanskrit_Terms.pdf,85
Niravadhi-atitaram,Constant and profuse.,Glossary_Sanskrit_Terms.pdf,86
Niravarana,Without veil.,Glossary_Sanskrit_Terms.pdf,86
Niravayava,Without members or limbs.,Glossary_Sanskrit_Terms.pdf,86
Nirbharata,Excessiveness; fullness.,Glossary_Sanskrit_Terms.pdf,86
Nirbhaya,Fearless.,Glossary_Sanskrit_Terms.pdf,86
Nirbija,Seedless; without Samskaras.,Glossary_Sanskrit_Terms.pdf,86
Nirbijasamadhi,"Nirvikalpa Samadhi, wherein the seeds of Samskaras are fried by Jnana.",Glossary_Sanskrit_Terms.pdf,86
Nirdvandva,Beyond the pairs of opposites such as pleasure and pain.,Glossary_Sanskrit_Terms.pdf,86
Nirguna,Without attribute.,Glossary_Sanskrit_Terms.pdf,86
Nirgunabrahman,"The impersonal, attributeless Absolute.",Glossary_Sanskrit_Terms.pdf,86
Nirlina,Undissolved.,Glossary_Sanskrit_Terms.pdf,86
Nirlipta,Unattached.,Glossary_Sanskrit_Terms.pdf,86
Nirliptatva,The state of being unattached.,Glossary_Sanskrit_Terms.pdf,86
Nirmala,Without impurity; pure.,Glossary_Sanskrit_Terms.pdf,86
Nirmama,Without mine-ness.,Glossary_Sanskrit_Terms.pdf,86
Nirmana,Creation.,Glossary_Sanskrit_Terms.pdf,86
